project_id	expression_type	sample_id	score_type	score
SCPCP000006	bulk_counts	SCPCS000203	stromal	-778.7743627096626
SCPCP000006	bulk_counts	SCPCS000203	immune	-1477.885090516512
SCPCP000006	bulk_counts	SCPCS000204	stromal	-480.4700600564894
SCPCP000006	bulk_counts	SCPCS000204	immune	-1487.7476947565574
SCPCP000006	bulk_counts	SCPCS000205	stromal	-1130.2210108992829
SCPCP000006	bulk_counts	SCPCS000205	immune	-1562.5982488481393
SCPCP000006	bulk_counts	SCPCS000206	stromal	-1612.0446481744166
SCPCP000006	bulk_counts	SCPCS000206	immune	-1535.7785229253193
SCPCP000006	bulk_counts	SCPCS000208	stromal	-835.5530437009388
SCPCP000006	bulk_counts	SCPCS000208	immune	-1616.6696651461607
SCPCP000006	bulk_tpm	SCPCS000168	stromal	-1804.8747653417763
SCPCP000006	bulk_tpm	SCPCS000168	immune	-1516.6165396988863
SCPCP000006	bulk_tpm	SCPCS000169	stromal	-1072.958018092509
SCPCP000006	bulk_tpm	SCPCS000169	immune	-1192.7654914698612
SCPCP000006	bulk_tpm	SCPCS000170	stromal	-1239.983625904743
SCPCP000006	bulk_tpm	SCPCS000170	immune	-1450.5214226139344
SCPCP000006	bulk_tpm	SCPCS000171	stromal	-907.4553776366998
SCPCP000006	bulk_tpm	SCPCS000171	immune	-1330.852583964186
SCPCP000006	bulk_tpm	SCPCS000172	stromal	-725.3545761813001
SCPCP000006	bulk_tpm	SCPCS000172	immune	-784.283987126897
SCPCP000006	bulk_tpm	SCPCS000173	stromal	-1058.452504629486
SCPCP000006	bulk_tpm	SCPCS000173	immune	-1151.3716853770081
SCPCP000006	bulk_tpm	SCPCS000174	stromal	-52.192500680867894
SCPCP000006	bulk_tpm	SCPCS000174	immune	-510.4767863902267
SCPCP000006	bulk_tpm	SCPCS000175	stromal	594.0831683420802
SCPCP000006	bulk_tpm	SCPCS000175	immune	331.66829567505516
SCPCP000006	bulk_tpm	SCPCS000176	stromal	-857.1654926328551
SCPCP000006	bulk_tpm	SCPCS000176	immune	-1136.187834724437
SCPCP000006	bulk_tpm	SCPCS000177	stromal	-1054.383553161631
SCPCP000006	bulk_tpm	SCPCS000177	immune	-736.8204469569298
SCPCP000006	bulk_tpm	SCPCS000178	stromal	-1087.957531461011
SCPCP000006	bulk_tpm	SCPCS000178	immune	-1117.6603499366217
SCPCP000006	bulk_tpm	SCPCS000179	stromal	-1289.849765898898
SCPCP000006	bulk_tpm	SCPCS000179	immune	-364.52282627884006
SCPCP000006	bulk_tpm	SCPCS000180	stromal	-1207.8484657742745
SCPCP000006	bulk_tpm	SCPCS000180	immune	-1318.9094477056253
SCPCP000006	bulk_tpm	SCPCS000181	stromal	-1572.9397967618486
SCPCP000006	bulk_tpm	SCPCS000181	immune	-1869.1387299853675
SCPCP000006	bulk_tpm	SCPCS000182	stromal	-1563.2186025856465
